step	attack	AUROC
1	no_attack	0.1989
1	t5_paraphrase	0.0000
1	synonym_replacement	0.0772
1	homoglyphs	0.0789
1	article_deletion	0.3587
1	misspelling	0.3342
5	no_attack	0.5433
5	t5_paraphrase	0.9600
5	synonym_replacement	0.9507
5	homoglyphs	0.8146
5	article_deletion	0.5142
5	misspelling	0.6714
10	no_attack	0.9213
10	t5_paraphrase	0.9800
10	synonym_replacement	0.9924
10	homoglyphs	1.0000
10	article_deletion	0.6772
10	misspelling	0.8201
15	no_attack	0.9906
15	t5_paraphrase	1.0000
15	synonym_replacement	0.9965
15	homoglyphs	1.0000
15	article_deletion	0.9323
15	misspelling	0.9848
20	no_attack	0.9968
20	t5_paraphrase	1.0000
20	synonym_replacement	0.9958
20	homoglyphs	1.0000
20	article_deletion	0.9826
20	misspelling	0.9957
25	no_attack	0.9963
25	t5_paraphrase	0.9800
25	synonym_replacement	0.9907
25	homoglyphs	0.9998
25	article_deletion	0.9921
25	misspelling	0.9962
30	no_attack	0.9966
30	t5_paraphrase	0.9400
30	synonym_replacement	0.9924
30	homoglyphs	0.9993
30	article_deletion	0.9916
30	misspelling	0.9975
35	no_attack	0.9970
35	t5_paraphrase	1.0000
35	synonym_replacement	0.9974
35	homoglyphs	0.9990
35	article_deletion	0.9966
35	misspelling	0.9994
40	no_attack	0.9974
40	t5_paraphrase	1.0000
40	synonym_replacement	0.9985
40	homoglyphs	0.9985
40	article_deletion	0.9974
40	misspelling	0.9983
45	no_attack	0.9988
45	t5_paraphrase	1.0000
45	synonym_replacement	0.9983
45	homoglyphs	0.9993
45	article_deletion	0.9983
45	misspelling	0.9990
50	no_attack	0.9989
50	t5_paraphrase	1.0000
50	synonym_replacement	0.9994
50	homoglyphs	1.0000
50	article_deletion	0.9995
50	misspelling	0.9997
55	no_attack	0.9973
55	t5_paraphrase	1.0000
55	synonym_replacement	0.9982
55	homoglyphs	0.9999
55	article_deletion	0.9990
55	misspelling	0.9996
60	no_attack	0.9833
60	t5_paraphrase	0.9600
60	synonym_replacement	0.9830
60	homoglyphs	0.9917
60	article_deletion	0.9884
60	misspelling	0.9902
65	no_attack	0.9988
65	t5_paraphrase	1.0000
65	synonym_replacement	0.9991
65	homoglyphs	1.0000
65	article_deletion	0.9993
65	misspelling	0.9998
70	no_attack	0.9996
70	t5_paraphrase	1.0000
70	synonym_replacement	1.0000
70	homoglyphs	1.0000
70	article_deletion	0.9998
70	misspelling	1.0000
