step	generator	AUROC
1	chatgpt	0.2695
1	cohere	0.3561
1	cohere-chat	0.2933
1	gpt2	0.3574
1	gpt3	0.2848
1	gpt4	0.2651
1	llama-chat	0.2051
1	mistral	0.3686
1	mistral-chat	0.2606
1	mpt	0.2072
1	mpt-chat	0.2854
1	MACRO_AVG	0.2866
5	chatgpt	0.4774
5	cohere	0.5306
5	cohere-chat	0.5266
5	gpt2	0.6131
5	gpt3	0.5831
5	gpt4	0.5282
5	llama-chat	0.5446
5	mistral	0.5957
5	mistral-chat	0.5118
5	mpt	0.7817
5	mpt-chat	0.5780
5	MACRO_AVG	0.5701
10	chatgpt	0.8576
10	cohere	0.8219
10	cohere-chat	0.8418
10	gpt2	0.8267
10	gpt3	0.8856
10	gpt4	0.9212
10	llama-chat	0.9216
10	mistral	0.8480
10	mistral-chat	0.8923
10	mpt	0.8787
10	mpt-chat	0.8796
10	MACRO_AVG	0.8704
15	chatgpt	0.9678
15	cohere	0.9221
15	cohere-chat	0.9381
15	gpt2	0.9248
15	gpt3	0.9662
15	gpt4	0.9897
15	llama-chat	0.9903
15	mistral	0.9109
15	mistral-chat	0.9726
15	mpt	0.9343
15	mpt-chat	0.9696
15	MACRO_AVG	0.9533
20	chatgpt	0.9921
20	cohere	0.9568
20	cohere-chat	0.9724
20	gpt2	0.9479
20	gpt3	0.9875
20	gpt4	0.9980
20	llama-chat	0.9967
20	mistral	0.9459
20	mistral-chat	0.9928
20	mpt	0.9276
20	mpt-chat	0.9896
20	MACRO_AVG	0.9734
25	chatgpt	0.9947
25	cohere	0.9506
25	cohere-chat	0.9709
25	gpt2	0.9460
25	gpt3	0.9875
25	gpt4	0.9987
25	llama-chat	0.9962
25	mistral	0.9457
25	mistral-chat	0.9942
25	mpt	0.9199
25	mpt-chat	0.9908
25	MACRO_AVG	0.9723
30	chatgpt	0.9953
30	cohere	0.9746
30	cohere-chat	0.9821
30	gpt2	0.9717
30	gpt3	0.9885
30	gpt4	0.9990
30	llama-chat	0.9967
30	mistral	0.9602
30	mistral-chat	0.9951
30	mpt	0.9318
30	mpt-chat	0.9907
30	MACRO_AVG	0.9805
35	chatgpt	0.9961
35	cohere	0.9632
35	cohere-chat	0.9777
35	gpt2	0.9831
35	gpt3	0.9914
35	gpt4	0.9988
35	llama-chat	0.9969
35	mistral	0.9732
35	mistral-chat	0.9963
35	mpt	0.9570
35	mpt-chat	0.9939
35	MACRO_AVG	0.9843
40	chatgpt	0.9960
40	cohere	0.9680
40	cohere-chat	0.9800
40	gpt2	0.9825
40	gpt3	0.9928
40	gpt4	0.9987
40	llama-chat	0.9975
40	mistral	0.9775
40	mistral-chat	0.9963
40	mpt	0.9622
40	mpt-chat	0.9945
40	MACRO_AVG	0.9860
45	chatgpt	0.9980
45	cohere	0.9779
45	cohere-chat	0.9862
45	gpt2	0.9862
45	gpt3	0.9950
45	gpt4	0.9993
45	llama-chat	0.9989
45	mistral	0.9826
45	mistral-chat	0.9980
45	mpt	0.9628
45	mpt-chat	0.9970
45	MACRO_AVG	0.9893
50	chatgpt	0.9989
50	cohere	0.9792
50	cohere-chat	0.9871
50	gpt2	0.9888
50	gpt3	0.9946
50	gpt4	0.9995
50	llama-chat	0.9990
50	mistral	0.9815
50	mistral-chat	0.9985
50	mpt	0.9658
50	mpt-chat	0.9981
50	MACRO_AVG	0.9901
55	chatgpt	0.9986
55	cohere	0.9781
55	cohere-chat	0.9885
55	gpt2	0.9894
55	gpt3	0.9938
55	gpt4	0.9996
55	llama-chat	0.9975
55	mistral	0.9820
55	mistral-chat	0.9981
55	mpt	0.9661
55	mpt-chat	0.9969
55	MACRO_AVG	0.9899
60	chatgpt	0.9872
60	cohere	0.9665
60	cohere-chat	0.9789
60	gpt2	0.9812
60	gpt3	0.9829
60	gpt4	0.9903
60	llama-chat	0.9837
60	mistral	0.9740
60	mistral-chat	0.9872
60	mpt	0.9633
60	mpt-chat	0.9867
60	MACRO_AVG	0.9802
65	chatgpt	0.9992
65	cohere	0.9812
65	cohere-chat	0.9895
65	gpt2	0.9919
65	gpt3	0.9966
65	gpt4	0.9996
65	llama-chat	0.9988
65	mistral	0.9844
65	mistral-chat	0.9991
65	mpt	0.9814
65	mpt-chat	0.9987
65	MACRO_AVG	0.9928
70	chatgpt	0.9995
70	cohere	0.9831
70	cohere-chat	0.9911
70	gpt2	0.9933
70	gpt3	0.9971
70	gpt4	0.9999
70	llama-chat	0.9997
70	mistral	0.9870
70	mistral-chat	0.9995
70	mpt	0.9785
70	mpt-chat	0.9992
70	MACRO_AVG	0.9934
75	chatgpt	0.9977
75	cohere	0.9787
75	cohere-chat	0.9903
75	gpt2	0.9910
75	gpt3	0.9948
75	gpt4	0.9979
75	llama-chat	0.9970
75	mistral	0.9838
75	mistral-chat	0.9979
75	mpt	0.9758
75	mpt-chat	0.9972
75	MACRO_AVG	0.9911
80	chatgpt	0.9918
80	cohere	0.9772
80	cohere-chat	0.9866
80	gpt2	0.9888
80	gpt3	0.9900
80	gpt4	0.9937
80	llama-chat	0.9909
80	mistral	0.9860
80	mistral-chat	0.9920
80	mpt	0.9692
80	mpt-chat	0.9925
80	MACRO_AVG	0.9871
85	chatgpt	0.9972
85	cohere	0.9846
85	cohere-chat	0.9921
85	gpt2	0.9922
85	gpt3	0.9954
85	gpt4	0.9985
85	llama-chat	0.9979
85	mistral	0.9897
85	mistral-chat	0.9975
85	mpt	0.9728
85	mpt-chat	0.9969
85	MACRO_AVG	0.9923
90	chatgpt	0.9940
90	cohere	0.9820
90	cohere-chat	0.9891
90	gpt2	0.9911
90	gpt3	0.9905
90	gpt4	0.9967
90	llama-chat	0.9962
90	mistral	0.9879
90	mistral-chat	0.9946
90	mpt	0.9725
90	mpt-chat	0.9928
90	MACRO_AVG	0.9898
95	chatgpt	0.9948
95	cohere	0.9826
95	cohere-chat	0.9894
95	gpt2	0.9924
95	gpt3	0.9934
95	gpt4	0.9971
95	llama-chat	0.9962
95	mistral	0.9892
95	mistral-chat	0.9957
95	mpt	0.9782
95	mpt-chat	0.9947
95	MACRO_AVG	0.9913
100	chatgpt	0.9912
100	cohere	0.9776
100	cohere-chat	0.9859
100	gpt2	0.9899
100	gpt3	0.9907
100	gpt4	0.9943
100	llama-chat	0.9920
100	mistral	0.9866
100	mistral-chat	0.9924
100	mpt	0.9766
100	mpt-chat	0.9919
100	MACRO_AVG	0.9881
105	chatgpt	0.9911
105	cohere	0.9766
105	cohere-chat	0.9870
105	gpt2	0.9892
105	gpt3	0.9910
105	gpt4	0.9923
105	llama-chat	0.9906
105	mistral	0.9852
105	mistral-chat	0.9922
