step	attack	AUROC
1	no_attack	0.3666
1	t5_paraphrase	0.0000
1	synonym_replacement	0.0802
1	homoglyphs	0.0430
1	article_deletion	0.4054
1	misspelling	0.3292
1	number_swap	0.3668
1	whitespace_addition	0.4729
1	upper_lower_swap	0.0975
1	zero_width_space	0.1458
1	insert_paragraphs	0.3539
1	alternative_spelling	0.3660
5	no_attack	0.5880
5	t5_paraphrase	0.0000
5	synonym_replacement	0.4104
5	homoglyphs	0.1795
5	article_deletion	0.6063
5	misspelling	0.6234
5	number_swap	0.5877
5	whitespace_addition	0.5660
5	upper_lower_swap	0.3623
5	zero_width_space	0.4255
5	insert_paragraphs	0.5981
5	alternative_spelling	0.5946
10	no_attack	1.0000
10	t5_paraphrase	1.0000
10	synonym_replacement	0.9993
10	homoglyphs	1.0000
10	article_deletion	1.0000
10	misspelling	1.0000
10	number_swap	1.0000
10	whitespace_addition	1.0000
10	upper_lower_swap	1.0000
10	zero_width_space	1.0000
10	insert_paragraphs	1.0000
10	alternative_spelling	1.0000
15	no_attack	1.0000
15	t5_paraphrase	1.0000
15	synonym_replacement	0.9997
15	homoglyphs	1.0000
15	article_deletion	1.0000
15	misspelling	1.0000
15	number_swap	1.0000
15	whitespace_addition	1.0000
15	upper_lower_swap	1.0000
15	zero_width_space	1.0000
15	insert_paragraphs	1.0000
15	alternative_spelling	1.0000
20	no_attack	1.0000
20	t5_paraphrase	1.0000
20	synonym_replacement	1.0000
20	homoglyphs	1.0000
20	article_deletion	1.0000
20	misspelling	1.0000
20	number_swap	1.0000
20	whitespace_addition	1.0000
20	upper_lower_swap	1.0000
20	zero_width_space	1.0000
20	insert_paragraphs	1.0000
20	alternative_spelling	1.0000
25	no_attack	1.0000
25	t5_paraphrase	1.0000
25	synonym_replacement	1.0000
25	homoglyphs	1.0000
25	article_deletion	1.0000
25	misspelling	1.0000
25	number_swap	1.0000
25	whitespace_addition	1.0000
25	upper_lower_swap	1.0000
25	zero_width_space	1.0000
25	insert_paragraphs	1.0000
25	alternative_spelling	1.0000
30	no_attack	1.0000
30	t5_paraphrase	1.0000
30	synonym_replacement	1.0000
30	homoglyphs	1.0000
30	article_deletion	1.0000
30	misspelling	1.0000
30	number_swap	1.0000
30	whitespace_addition	1.0000
30	upper_lower_swap	1.0000
30	zero_width_space	1.0000
30	insert_paragraphs	1.0000
30	alternative_spelling	1.0000
35	no_attack	1.0000
35	t5_paraphrase	1.0000
35	synonym_replacement	0.9999
35	homoglyphs	1.0000
35	article_deletion	1.0000
35	misspelling	1.0000
35	number_swap	1.0000
35	whitespace_addition	1.0000
35	upper_lower_swap	1.0000
35	zero_width_space	1.0000
35	insert_paragraphs	1.0000
35	alternative_spelling	1.0000
40	no_attack	1.0000
40	t5_paraphrase	1.0000
40	synonym_replacement	0.9995
40	homoglyphs	1.0000
40	article_deletion	1.0000
40	misspelling	1.0000
40	number_swap	1.0000
40	whitespace_addition	1.0000
40	upper_lower_swap	1.0000
40	zero_width_space	1.0000
40	insert_paragraphs	1.0000
40	alternative_spelling	1.0000
1	no_attack	0.1989
1	t5_paraphrase	0.0000
1	synonym_replacement	0.0721
1	homoglyphs	0.0773
1	article_deletion	0.3613
1	misspelling	0.3319
1	number_swap	0.2056
1	whitespace_addition	0.3034
1	upper_lower_swap	0.1249
1	zero_width_space	0.1517
1	insert_paragraphs	0.2114
1	alternative_spelling	0.2065
5	no_attack	0.4257
5	t5_paraphrase	0.6200
5	synonym_replacement	0.7139
5	homoglyphs	0.6609
5	article_deletion	0.4692
5	misspelling	0.6095
5	number_swap	0.4449
5	whitespace_addition	0.3966
5	upper_lower_swap	0.7432
5	zero_width_space	0.6548
5	insert_paragraphs	0.4731
5	alternative_spelling	0.4365
10	no_attack	0.8522
10	t5_paraphrase	0.9800
10	synonym_replacement	0.9860
10	homoglyphs	0.9993
10	article_deletion	0.6317
10	misspelling	0.8159
10	number_swap	0.8652
10	whitespace_addition	0.8381
10	upper_lower_swap	0.9859
10	zero_width_space	0.9871
10	insert_paragraphs	0.7662
10	alternative_spelling	0.8508
15	no_attack	0.9829
15	t5_paraphrase	0.9800
15	synonym_replacement	0.9876
15	homoglyphs	0.9998
15	article_deletion	0.7548
15	misspelling	0.8867
15	number_swap	0.9862
15	whitespace_addition	0.9902
15	upper_lower_swap	0.9992
15	zero_width_space	0.9997
15	insert_paragraphs	0.9051
15	alternative_spelling	0.9827
20	no_attack	0.9965
20	t5_paraphrase	1.0000
20	synonym_replacement	0.9973
20	homoglyphs	1.0000
20	article_deletion	0.9415
20	misspelling	0.9820
20	number_swap	0.9966
20	whitespace_addition	0.9988
20	upper_lower_swap	0.9999
20	zero_width_space	1.0000
