step	generator	AUROC	TPR_at_1pct_FPR
1	chatgpt	0.3800	0.0000
1	cohere	0.5900	0.1000
1	cohere-chat	0.4900	0.0000
1	gpt2	0.4300	0.0000
1	gpt3	0.4800	0.2000
1	gpt4	0.5800	0.0000
1	llama-chat	0.2600	0.0000
1	mistral	0.5300	0.0000
1	mistral-chat	0.4800	0.0000
1	mpt	0.1700	0.0000
1	mpt-chat	0.3900	0.0000
1	MACRO_AVG	0.4345	0.0273
1	GLOBAL_TPR_AT_1FPR	-	0.0273
5	chatgpt	0.5600	0.2000
5	cohere	0.7500	0.4000
5	cohere-chat	0.6200	0.1000
5	gpt2	0.7800	0.5000
5	gpt3	0.5600	0.2000
5	gpt4	0.7400	0.4000
5	llama-chat	0.4200	0.0000
5	mistral	0.7300	0.3000
5	mistral-chat	0.6100	0.2000
5	mpt	0.3900	0.2000
5	mpt-chat	0.6100	0.2000
5	MACRO_AVG	0.6155	0.2455
5	GLOBAL_TPR_AT_1FPR	-	0.0636
10	chatgpt	1.0000	1.0000
10	cohere	1.0000	1.0000
10	cohere-chat	1.0000	1.0000
10	gpt2	1.0000	1.0000
10	gpt3	1.0000	1.0000
10	gpt4	1.0000	1.0000
10	llama-chat	1.0000	1.0000
10	mistral	1.0000	1.0000
10	mistral-chat	1.0000	1.0000
10	mpt	1.0000	1.0000
10	mpt-chat	1.0000	1.0000
10	MACRO_AVG	1.0000	1.0000
10	GLOBAL_TPR_AT_1FPR	-	1.0000
15	chatgpt	1.0000	1.0000
15	cohere	1.0000	1.0000
15	cohere-chat	1.0000	1.0000
15	gpt2	1.0000	1.0000
15	gpt3	1.0000	1.0000
15	gpt4	1.0000	1.0000
15	llama-chat	1.0000	1.0000
15	mistral	1.0000	1.0000
15	mistral-chat	1.0000	1.0000
15	mpt	1.0000	1.0000
15	mpt-chat	1.0000	1.0000
15	MACRO_AVG	1.0000	1.0000
15	GLOBAL_TPR_AT_1FPR	-	1.0000
20	chatgpt	1.0000	1.0000
20	cohere	1.0000	1.0000
20	cohere-chat	1.0000	1.0000
20	gpt2	1.0000	1.0000
20	gpt3	1.0000	1.0000
20	gpt4	1.0000	1.0000
20	llama-chat	1.0000	1.0000
20	mistral	1.0000	1.0000
20	mistral-chat	1.0000	1.0000
20	mpt	1.0000	1.0000
20	mpt-chat	1.0000	1.0000
