step	attack	AUROC
1	no_attack	0.1989
1	t5_paraphrase	0.0000
1	synonym_replacement	0.0753
1	homoglyphs	0.0495
1	article_deletion	0.3709
1	misspelling	0.3253
1	number_swap	0.2055
1	whitespace_addition	0.3406
1	upper_lower_swap	0.1237
1	zero_width_space	0.1573
1	insert_paragraphs	0.2111
1	alternative_spelling	0.2066
5	no_attack	0.4119
5	t5_paraphrase	0.3800
5	synonym_replacement	0.4535
5	homoglyphs	0.3835
5	article_deletion	0.4681
5	misspelling	0.5987
5	number_swap	0.4318
5	whitespace_addition	0.3867
5	upper_lower_swap	0.6460
5	zero_width_space	0.5474
5	insert_paragraphs	0.4642
5	alternative_spelling	0.4230
10	no_attack	0.8097
10	t5_paraphrase	1.0000
10	synonym_replacement	0.9062
10	homoglyphs	0.9758
10	article_deletion	0.6753
10	misspelling	0.8242
10	number_swap	0.8176
10	whitespace_addition	0.8034
10	upper_lower_swap	0.9592
10	zero_width_space	0.9567
10	insert_paragraphs	0.7865
10	alternative_spelling	0.8114
15	no_attack	0.9333
15	t5_paraphrase	0.0800
15	synonym_replacement	0.4343
15	homoglyphs	0.9567
15	article_deletion	0.7165
15	misspelling	0.8482
15	number_swap	0.9388
15	whitespace_addition	0.9633
15	upper_lower_swap	0.9696
15	zero_width_space	0.9699
15	insert_paragraphs	0.8694
15	alternative_spelling	0.9312
20	no_attack	0.9863
20	t5_paraphrase	0.9800
20	synonym_replacement	0.9729
20	homoglyphs	0.9998
20	article_deletion	0.7184
20	misspelling	0.9392
20	number_swap	0.9882
20	whitespace_addition	0.9982
20	upper_lower_swap	0.9994
20	zero_width_space	0.9997
20	insert_paragraphs	0.8826
20	alternative_spelling	0.9859
25	no_attack	0.9924
25	t5_paraphrase	0.9800
25	synonym_replacement	0.9781
25	homoglyphs	0.9995
25	article_deletion	0.8827
25	misspelling	0.9825
25	number_swap	0.9925
25	whitespace_addition	0.9991
25	upper_lower_swap	0.9992
25	zero_width_space	0.9995
25	insert_paragraphs	0.9535
25	alternative_spelling	0.9922
30	no_attack	0.9976
30	t5_paraphrase	1.0000
30	synonym_replacement	0.9932
30	homoglyphs	0.9999
30	article_deletion	0.9646
30	misspelling	0.9914
30	number_swap	0.9976
30	whitespace_addition	0.9997
30	upper_lower_swap	0.9997
30	zero_width_space	0.9999
30	insert_paragraphs	0.9728
30	alternative_spelling	0.9975
35	no_attack	0.9978
35	t5_paraphrase	1.0000
35	synonym_replacement	0.9913
