step	generator	AUROC	TPR_at_1pct_FPR
1	chatgpt	0.2695	0.0000
1	cohere	0.3561	0.0007
1	cohere-chat	0.2933	0.0007
1	gpt2	0.3574	0.0081
1	gpt3	0.2848	0.0008
1	gpt4	0.2651	0.0004
1	llama-chat	0.2051	0.0000
1	mistral	0.3686	0.0069
1	mistral-chat	0.2606	0.0006
1	mpt	0.2072	0.0034
1	mpt-chat	0.2854	0.0006
1	MACRO_AVG	0.2866	0.0020
1	GLOBAL_TPR_AT_1FPR	-	0.0024
5	chatgpt	0.3845	0.0007
5	cohere	0.4499	0.0000
5	cohere-chat	0.3959	0.0000
5	gpt2	0.5303	0.0019
5	gpt3	0.4122	0.0004
5	gpt4	0.4338	0.0004
5	llama-chat	0.4164	0.0000
5	mistral	0.4960	0.0021
5	mistral-chat	0.3715	0.0002
5	mpt	0.5054	0.0028
5	mpt-chat	0.4025	0.0000
5	MACRO_AVG	0.4362	0.0008
5	GLOBAL_TPR_AT_1FPR	-	0.0009
10	chatgpt	0.7715	0.0243
10	cohere	0.6830	0.0206
10	cohere-chat	0.7022	0.0266
10	gpt2	0.7147	0.0638
10	gpt3	0.7345	0.0579
10	gpt4	0.8014	0.0135
10	llama-chat	0.8119	0.0705
10	mistral	0.6244	0.0496
10	mistral-chat	0.7436	0.0253
10	mpt	0.7411	0.1338
10	mpt-chat	0.6244	0.0122
10	MACRO_AVG	0.7229	0.0453
10	GLOBAL_TPR_AT_1FPR	-	0.0501
15	chatgpt	0.9236	0.4168
15	cohere	0.8193	0.1906
15	cohere-chat	0.8268	0.2100
15	gpt2	0.7938	0.2365
15	gpt3	0.8145	0.1564
15	gpt4	0.9697	0.5576
15	llama-chat	0.9339	0.5015
15	mistral	0.7425	0.2349
15	mistral-chat	0.8990	0.3265
15	mpt	0.4748	0.1801
15	mpt-chat	0.7589	0.1746
15	MACRO_AVG	0.8143	0.2896
15	GLOBAL_TPR_AT_1FPR	-	0.2849
20	chatgpt	0.8978	0.6180
20	cohere	0.8697	0.4629
20	cohere-chat	0.8833	0.4642
20	gpt2	0.8820	0.3755
20	gpt3	0.9007	0.4695
20	gpt4	0.9583	0.8278
20	llama-chat	0.9852	0.8037
20	mistral	0.8599	0.4219
20	mistral-chat	0.9290	0.6282
20	mpt	0.8838	0.2300
20	mpt-chat	0.8526	0.3935
20	MACRO_AVG	0.9002	0.5178
20	GLOBAL_TPR_AT_1FPR	-	0.5033
25	chatgpt	0.9615	0.6558
25	cohere	0.9152	0.6079
25	cohere-chat	0.9372	0.6129
25	gpt2	0.9316	0.5628
25	gpt3	0.9493	0.6128
25	gpt4	0.9796	0.8597
25	llama-chat	0.9921	0.9183
25	mistral	0.8929	0.5508
25	mistral-chat	0.9725	0.7338
25	mpt	0.9132	0.2794
25	mpt-chat	0.9332	0.4632
25	MACRO_AVG	0.9435	0.6234
25	GLOBAL_TPR_AT_1FPR	-	0.6103
30	chatgpt	0.9950	0.8971
30	cohere	0.9556	0.6554
30	cohere-chat	0.9775	0.7465
30	gpt2	0.9468	0.7091
30	gpt3	0.9880	0.7880
30	gpt4	0.9978	0.9510
30	llama-chat	0.9973	0.9336
30	mistral	0.9363	0.6405
30	mistral-chat	0.9952	0.9056
30	mpt	0.9314	0.3956
30	mpt-chat	0.9815	0.7804
30	MACRO_AVG	0.9729	0.7639
30	GLOBAL_TPR_AT_1FPR	-	0.7516
35	chatgpt	0.9968	0.9596
35	cohere	0.9660	0.7225
35	cohere-chat	0.9812	0.7900
35	gpt2	0.9518	0.7273
35	gpt3	0.9918	0.8350
35	gpt4	0.9989	0.9888
35	llama-chat	0.9977	0.9435
35	mistral	0.9483	0.6677
35	mistral-chat	0.9965	0.9427
35	mpt	0.9336	0.3575
35	mpt-chat	0.9900	0.8708
35	MACRO_AVG	0.9775	0.8005
35	GLOBAL_TPR_AT_1FPR	-	0.7838
40	chatgpt	0.9958	0.9401
40	cohere	0.9733	0.7292
40	cohere-chat	0.9829	0.7754
40	gpt2	0.9717	0.7119
40	gpt3	0.9889	0.7752
40	gpt4	0.9973	0.9813
40	llama-chat	0.9957	0.9387
40	mistral	0.9562	0.6701
40	mistral-chat	0.9949	0.9101
40	mpt	0.9387	0.3219
40	mpt-chat	0.9886	0.7980
40	MACRO_AVG	0.9804	0.7774
40	GLOBAL_TPR_AT_1FPR	-	0.7596
45	chatgpt	0.9967	0.9588
45	cohere	0.9754	0.7303
45	cohere-chat	0.9828	0.7814
45	gpt2	0.9732	0.7153
45	gpt3	0.9904	0.8139
45	gpt4	0.9980	0.9895
45	llama-chat	0.9964	0.9418
45	mistral	0.9631	0.6806
45	mistral-chat	0.9958	0.9281
45	mpt	0.9390	0.3247
45	mpt-chat	0.9922	0.8511
45	MACRO_AVG	0.9821	0.7923
45	GLOBAL_TPR_AT_1FPR	-	0.7746
50	chatgpt	0.9986	0.9817
50	cohere	0.9719	0.7790
50	cohere-chat	0.9835	0.8169
50	gpt2	0.9750	0.8113
50	gpt3	0.9940	0.8895
50	gpt4	0.9996	0.9948
50	llama-chat	0.9987	0.9544
50	mistral	0.9671	0.7412
50	mistral-chat	0.9981	0.9633
50	mpt	0.9508	0.5600
50	mpt-chat	0.9958	0.9248
50	MACRO_AVG	0.9848	0.8561
50	GLOBAL_TPR_AT_1FPR	-	0.8458
55	chatgpt	0.9976	0.9854
55	cohere	0.9743	0.7880
55	cohere-chat	0.9844	0.8203
55	gpt2	0.9754	0.8040
55	gpt3	0.9930	0.8771
55	gpt4	0.9985	0.9959
55	llama-chat	0.9976	0.9540
55	mistral	0.9654	0.7354
55	mistral-chat	0.9973	0.9659
55	mpt	0.9523	0.4954
55	mpt-chat	0.9950	0.9231
55	MACRO_AVG	0.9846	0.8495
55	GLOBAL_TPR_AT_1FPR	-	0.8371
60	chatgpt	0.9955	0.9820
60	cohere	0.9741	0.7801
60	cohere-chat	0.9848	0.8139
60	gpt2	0.9763	0.7571
60	gpt3	0.9922	0.8639
60	gpt4	0.9961	0.9918
60	llama-chat	0.9948	0.9424
60	mistral	0.9721	0.7187
60	mistral-chat	0.9952	0.9515
60	mpt	0.9496	0.3678
60	mpt-chat	0.9945	0.9104
60	MACRO_AVG	0.9841	0.8254
60	GLOBAL_TPR_AT_1FPR	-	0.8081
65	chatgpt	0.9973	0.9869
65	cohere	0.9808	0.7996
65	cohere-chat	0.9876	0.8285
65	gpt2	0.9829	0.7854
65	gpt3	0.9945	0.8914
65	gpt4	0.9981	0.9974
65	llama-chat	0.9971	0.9615
65	mistral	0.9751	0.7309
65	mistral-chat	0.9973	0.9648
65	mpt	0.9593	0.3761
65	mpt-chat	0.9961	0.9244
65	MACRO_AVG	0.9878	0.8406
65	GLOBAL_TPR_AT_1FPR	-	0.8236
70	chatgpt	0.9932	0.9241
70	cohere	0.9767	0.7678
70	cohere-chat	0.9826	0.7836
70	gpt2	0.9841	0.7588
70	gpt3	0.9887	0.8267
70	gpt4	0.9940	0.9499
70	llama-chat	0.9923	0.8626
70	mistral	0.9706	0.7322
70	mistral-chat	0.9930	0.9028
70	mpt	0.9612	0.3738
70	mpt-chat	0.9920	0.8607
70	MACRO_AVG	0.9844	0.7948
70	GLOBAL_TPR_AT_1FPR	-	0.7790
75	chatgpt	0.9973	0.9895
75	cohere	0.9788	0.8273
75	cohere-chat	0.9875	0.8487
75	gpt2	0.9844	0.8458
75	gpt3	0.9943	0.9030
75	gpt4	0.9976	0.9970
75	llama-chat	0.9972	0.9641
75	mistral	0.9725	0.7702
75	mistral-chat	0.9973	0.9725
75	mpt	0.9636	0.4792
75	mpt-chat	0.9961	0.9417
75	MACRO_AVG	0.9879	0.8672
75	GLOBAL_TPR_AT_1FPR	-	0.8542
80	chatgpt	0.9932	0.9158
80	cohere	0.9787	0.7247
80	cohere-chat	0.9864	0.7589
80	gpt2	0.9831	0.7391
80	gpt3	0.9903	0.8083
