step	attack	AUROC
1	no_attack	0.3165
1	t5_paraphrase	0.0000
1	synonym_replacement	0.2712
1	homoglyphs	0.1707
1	article_deletion	0.4657
1	misspelling	0.4638
1	number_swap	0.3185
1	whitespace_addition	0.4909
1	upper_lower_swap	0.3105
1	zero_width_space	0.3505
1	insert_paragraphs	0.3142
1	alternative_spelling	0.3363
5	no_attack	0.5443
5	t5_paraphrase	0.1000
5	synonym_replacement	0.5363
5	homoglyphs	0.4606
5	article_deletion	0.6682
5	misspelling	0.7941
5	number_swap	0.5534
5	whitespace_addition	0.5048
5	upper_lower_swap	0.8146
5	zero_width_space	0.6473
5	insert_paragraphs	0.5808
5	alternative_spelling	0.5657
10	no_attack	0.8583
10	t5_paraphrase	0.8400
10	synonym_replacement	0.8756
10	homoglyphs	0.9509
10	article_deletion	0.9025
10	misspelling	0.9151
10	number_swap	0.8581
10	whitespace_addition	0.8706
10	upper_lower_swap	0.9343
10	zero_width_space	0.9220
10	insert_paragraphs	0.8738
10	alternative_spelling	0.8580
15	no_attack	0.8522
15	t5_paraphrase	0.7000
15	synonym_replacement	0.8486
15	homoglyphs	0.9875
15	article_deletion	0.9099
15	misspelling	0.9171
15	number_swap	0.8522
15	whitespace_addition	0.8633
15	upper_lower_swap	0.9420
15	zero_width_space	0.9552
15	insert_paragraphs	0.8731
15	alternative_spelling	0.8527
20	no_attack	0.9565
20	t5_paraphrase	0.7000
20	synonym_replacement	0.8943
20	homoglyphs	0.9984
20	article_deletion	0.9722
20	misspelling	0.9739
20	number_swap	0.9565
20	whitespace_addition	0.9761
20	upper_lower_swap	0.9924
20	zero_width_space	0.9928
20	insert_paragraphs	0.9592
20	alternative_spelling	0.9564
25	no_attack	0.9844
25	t5_paraphrase	0.7800
25	synonym_replacement	0.9067
25	homoglyphs	0.9991
25	article_deletion	0.9889
25	misspelling	0.9899
25	number_swap	0.9844
25	whitespace_addition	0.9907
25	upper_lower_swap	0.9967
25	zero_width_space	0.9965
25	insert_paragraphs	0.9849
25	alternative_spelling	0.9844
30	no_attack	0.9912
30	t5_paraphrase	0.9200
30	synonym_replacement	0.9804
30	homoglyphs	0.9996
30	article_deletion	0.9936
30	misspelling	0.9950
30	number_swap	0.9912
30	whitespace_addition	0.9950
30	upper_lower_swap	0.9986
30	zero_width_space	0.9988
30	insert_paragraphs	0.9917
30	alternative_spelling	0.9912
35	no_attack	0.9955
35	t5_paraphrase	0.9800
35	synonym_replacement	0.9955
