step	attack	AUROC
1	no_attack	0.2763
1	t5_paraphrase	0.0000
1	synonym_replacement	0.0788
1	homoglyphs	0.1048
1	article_deletion	0.4063
1	misspelling	0.3785
1	number_swap	0.2798
1	whitespace_addition	0.3637
1	upper_lower_swap	0.1489
1	zero_width_space	0.2074
1	insert_paragraphs	0.2832
1	alternative_spelling	0.2809
5	no_attack	0.4341
5	t5_paraphrase	0.4600
5	synonym_replacement	0.5120
5	homoglyphs	0.4193
5	article_deletion	0.4479
5	misspelling	0.5524
5	number_swap	0.4581
5	whitespace_addition	0.4072
5	upper_lower_swap	0.5982
5	zero_width_space	0.5437
5	insert_paragraphs	0.4571
5	alternative_spelling	0.4418
10	no_attack	0.7506
10	t5_paraphrase	0.9600
10	synonym_replacement	0.7549
10	homoglyphs	0.8598
10	article_deletion	0.6026
10	misspelling	0.6999
10	number_swap	0.7545
10	whitespace_addition	0.7118
10	upper_lower_swap	0.8446
10	zero_width_space	0.8491
10	insert_paragraphs	0.7226
10	alternative_spelling	0.7521
15	no_attack	0.7605
15	t5_paraphrase	0.2200
15	synonym_replacement	0.3961
15	homoglyphs	0.9049
15	article_deletion	0.6267
15	misspelling	0.6543
15	number_swap	0.7558
15	whitespace_addition	0.7874
15	upper_lower_swap	0.8219
15	zero_width_space	0.8680
15	insert_paragraphs	0.7266
15	alternative_spelling	0.7601
20	no_attack	0.9157
20	t5_paraphrase	0.9600
20	synonym_replacement	0.9708
20	homoglyphs	0.9993
20	article_deletion	0.7147
20	misspelling	0.8749
20	number_swap	0.9291
20	whitespace_addition	0.9536
20	upper_lower_swap	0.9964
20	zero_width_space	0.9984
20	insert_paragraphs	0.8756
20	alternative_spelling	0.9151
25	no_attack	0.9580
25	t5_paraphrase	0.9800
25	synonym_replacement	0.9748
25	homoglyphs	0.9995
25	article_deletion	0.8345
25	misspelling	0.9282
25	number_swap	0.9628
25	whitespace_addition	0.9850
25	upper_lower_swap	0.9975
25	zero_width_space	0.9993
25	insert_paragraphs	0.9340
25	alternative_spelling	0.9573
30	no_attack	0.9705
30	t5_paraphrase	1.0000
30	synonym_replacement	0.9882
30	homoglyphs	0.9996
30	article_deletion	0.9057
30	misspelling	0.9754
30	number_swap	0.9734
30	whitespace_addition	0.9927
30	upper_lower_swap	0.9990
30	zero_width_space	0.9996
30	insert_paragraphs	0.9470
30	alternative_spelling	0.9699
35	no_attack	0.9757
35	t5_paraphrase	1.0000
35	synonym_replacement	0.9908
35	homoglyphs	0.9998
35	article_deletion	0.9371
35	misspelling	0.9870
35	number_swap	0.9795
35	whitespace_addition	0.9956
35	upper_lower_swap	0.9993
35	zero_width_space	0.9998
35	insert_paragraphs	0.9579
35	alternative_spelling	0.9750
40	no_attack	0.9821
40	t5_paraphrase	1.0000
40	synonym_replacement	0.9920
40	homoglyphs	0.9998
40	article_deletion	0.9619
40	misspelling	0.9900
40	number_swap	0.9841
40	whitespace_addition	0.9954
40	upper_lower_swap	0.9994
40	zero_width_space	0.9998
40	insert_paragraphs	0.9688
40	alternative_spelling	0.9816
45	no_attack	0.9804
45	t5_paraphrase	0.9800
45	synonym_replacement	0.9850
45	homoglyphs	0.9994
45	article_deletion	0.9638
45	misspelling	0.9863
45	number_swap	0.9825
45	whitespace_addition	0.9953
45	upper_lower_swap	0.9985
45	zero_width_space	0.9987
45	insert_paragraphs	0.9678
45	alternative_spelling	0.9800
50	no_attack	0.9827
50	t5_paraphrase	0.9800
50	synonym_replacement	0.9880
50	homoglyphs	0.9983
50	article_deletion	0.9727
50	misspelling	0.9894
50	number_swap	0.9838
50	whitespace_addition	0.9956
50	upper_lower_swap	0.9981
50	zero_width_space	0.9981
50	insert_paragraphs	0.9736
50	alternative_spelling	0.9824
55	no_attack	0.9844
55	t5_paraphrase	1.0000
55	synonym_replacement	0.9965
55	homoglyphs	0.9998
55	article_deletion	0.9805
55	misspelling	0.9948
55	number_swap	0.9866
55	whitespace_addition	0.9960
55	upper_lower_swap	0.9997
55	zero_width_space	0.9995
55	insert_paragraphs	0.9753
55	alternative_spelling	0.9841
60	no_attack	0.9838
60	t5_paraphrase	1.0000
60	synonym_replacement	0.9933
60	homoglyphs	0.9986
60	article_deletion	0.9826
60	misspelling	0.9946
60	number_swap	0.9856
60	whitespace_addition	0.9965
60	upper_lower_swap	0.9987
60	zero_width_space	0.9983
60	insert_paragraphs	0.9747
60	alternative_spelling	0.9835
65	no_attack	0.9855
65	t5_paraphrase	1.0000
65	synonym_replacement	0.9953
65	homoglyphs	0.9996
65	article_deletion	0.9847
65	misspelling	0.9951
65	number_swap	0.9870
65	whitespace_addition	0.9964
65	upper_lower_swap	0.9994
65	zero_width_space	0.9994
65	insert_paragraphs	0.9755
65	alternative_spelling	0.9851
70	no_attack	0.9870
70	t5_paraphrase	1.0000
70	synonym_replacement	0.9963
70	homoglyphs	0.9996
70	article_deletion	0.9868
70	misspelling	0.9965
70	number_swap	0.9885
70	whitespace_addition	0.9973
70	upper_lower_swap	0.9994
70	zero_width_space	0.9995
70	insert_paragraphs	0.9793
70	alternative_spelling	0.9865
75	no_attack	0.9821
75	t5_paraphrase	1.0000
75	synonym_replacement	0.9904
75	homoglyphs	0.9967
75	article_deletion	0.9837
