step	generator	AUROC	TPR_at_1pct_FPR
1	chatgpt	0.2412	0.0000
1	cohere	0.3059	0.0165
1	cohere-chat	0.3228	0.0000
1	gpt2	0.3377	0.0083
1	gpt3	0.2875	0.0000
1	gpt4	0.2616	0.0000
1	llama-chat	0.1831	0.0000
1	mistral	0.3659	0.0579
1	mistral-chat	0.2762	0.0083
1	mpt	0.1684	0.0000
1	mpt-chat	0.3107	0.0000
1	MACRO_AVG	0.2783	0.0083
1	GLOBAL_TPR_AT_1FPR	-	0.0023
5	chatgpt	0.3737	0.0000
5	cohere	0.4367	0.0000
5	cohere-chat	0.4107	0.0000
5	gpt2	0.4855	0.0000
5	gpt3	0.4283	0.0000
5	gpt4	0.4629	0.0000
5	llama-chat	0.4213	0.0000
5	mistral	0.4973	0.0000
5	mistral-chat	0.3843	0.0000
5	mpt	0.4871	0.0000
5	mpt-chat	0.4247	0.0000
5	MACRO_AVG	0.4375	0.0000
5	GLOBAL_TPR_AT_1FPR	-	0.0000
10	chatgpt	0.8338	0.1074
10	cohere	0.6911	0.0579
10	cohere-chat	0.7661	0.0909
10	gpt2	0.6543	0.0992
10	gpt3	0.7591	0.0744
10	gpt4	0.8915	0.1901
10	llama-chat	0.8605	0.2810
10	mistral	0.6548	0.0909
10	mistral-chat	0.7915	0.0744
10	mpt	0.5735	0.0496
10	mpt-chat	0.5939	0.0579
10	MACRO_AVG	0.7336	0.1067
10	GLOBAL_TPR_AT_1FPR	-	0.1307
15	chatgpt	0.9049	0.2975
15	cohere	0.7099	0.1157
15	cohere-chat	0.8074	0.2066
15	gpt2	0.6405	0.1405
15	gpt3	0.7565	0.1570
15	gpt4	0.9300	0.4463
15	llama-chat	0.8695	0.4711
15	mistral	0.6633	0.1818
15	mistral-chat	0.8628	0.2562
15	mpt	0.3505	0.0661
15	mpt-chat	0.6293	0.1405
15	MACRO_AVG	0.7386	0.2254
15	GLOBAL_TPR_AT_1FPR	-	0.1946
20	chatgpt	0.9638	0.6364
20	cohere	0.9235	0.3802
20	cohere-chat	0.9205	0.5041
20	gpt2	0.8574	0.3306
20	gpt3	0.9499	0.4876
20	gpt4	0.9913	0.8347
20	llama-chat	0.9889	0.7851
20	mistral	0.8659	0.4215
20	mistral-chat	0.9568	0.5950
20	mpt	0.8123	0.1488
20	mpt-chat	0.9094	0.3884
20	MACRO_AVG	0.9218	0.5011
20	GLOBAL_TPR_AT_1FPR	-	0.5605
25	chatgpt	0.9899	0.8512
25	cohere	0.9590	0.7107
25	cohere-chat	0.9702	0.7769
25	gpt2	0.9116	0.5537
25	gpt3	0.9782	0.7686
25	gpt4	0.9966	0.9504
25	llama-chat	0.9975	0.9587
25	mistral	0.9254	0.6116
25	mistral-chat	0.9901	0.8678
25	mpt	0.8780	0.2231
25	mpt-chat	0.9704	0.7025
25	MACRO_AVG	0.9606	0.7250
25	GLOBAL_TPR_AT_1FPR	-	0.6799
30	chatgpt	0.9958	0.9339
30	cohere	0.9646	0.8017
30	cohere-chat	0.9839	0.8595
30	gpt2	0.9328	0.7603
30	gpt3	0.9889	0.8926
30	gpt4	0.9979	0.9669
30	llama-chat	0.9994	0.9835
30	mistral	0.9510	0.7355
30	mistral-chat	0.9970	0.9174
30	mpt	0.9368	0.5041
30	mpt-chat	0.9908	0.8678
30	MACRO_AVG	0.9763	0.8385
30	GLOBAL_TPR_AT_1FPR	-	0.7663
35	chatgpt	0.9969	0.9174
35	cohere	0.9663	0.7851
35	cohere-chat	0.9880	0.8182
35	gpt2	0.9525	0.7521
35	gpt3	0.9884	0.8843
35	gpt4	0.9990	0.9835
35	llama-chat	0.9987	0.9504
35	mistral	0.9574	0.7190
35	mistral-chat	0.9969	0.9174
35	mpt	0.9473	0.4959
35	mpt-chat	0.9908	0.8430
35	MACRO_AVG	0.9802	0.8242
35	GLOBAL_TPR_AT_1FPR	-	0.7370
40	chatgpt	0.9984	0.9421
40	cohere	0.9716	0.8017
40	cohere-chat	0.9930	0.8347
40	gpt2	0.9671	0.7769
40	gpt3	0.9919	0.8760
40	gpt4	0.9992	0.9917
40	llama-chat	0.9986	0.9421
40	mistral	0.9704	0.7686
40	mistral-chat	0.9981	0.9339
40	mpt	0.9568	0.3471
40	mpt-chat	0.9941	0.8595
40	MACRO_AVG	0.9854	0.8249
40	GLOBAL_TPR_AT_1FPR	-	0.8039
45	chatgpt	0.9986	0.9587
45	cohere	0.9706	0.8264
45	cohere-chat	0.9939	0.8843
45	gpt2	0.9700	0.7934
45	gpt3	0.9904	0.8843
45	gpt4	0.9998	0.9917
45	llama-chat	0.9980	0.9421
45	mistral	0.9671	0.7686
45	mistral-chat	0.9989	0.9752
45	mpt	0.9564	0.3306
45	mpt-chat	0.9945	0.8926
45	MACRO_AVG	0.9853	0.8407
45	GLOBAL_TPR_AT_1FPR	-	0.7806
50	chatgpt	0.9989	0.9587
50	cohere	0.9718	0.8017
50	cohere-chat	0.9944	0.8843
50	gpt2	0.9719	0.7686
50	gpt3	0.9898	0.8760
50	gpt4	0.9997	0.9917
50	llama-chat	0.9980	0.9421
50	mistral	0.9763	0.7769
50	mistral-chat	0.9987	0.9587
50	mpt	0.9667	0.3636
50	mpt-chat	0.9958	0.8843
50	MACRO_AVG	0.9874	0.8370
50	GLOBAL_TPR_AT_1FPR	-	0.7829
55	chatgpt	0.9988	0.9669
55	cohere	0.9692	0.8512
55	cohere-chat	0.9906	0.8843
55	gpt2	0.9709	0.8264
55	gpt3	0.9920	0.9421
55	gpt4	0.9997	0.9917
55	llama-chat	0.9987	0.9587
55	mistral	0.9745	0.8099
55	mistral-chat	0.9988	0.9669
55	mpt	0.9707	0.7355
55	mpt-chat	0.9962	0.9008
55	MACRO_AVG	0.9873	0.8941
55	GLOBAL_TPR_AT_1FPR	-	0.8430
60	chatgpt	0.9990	0.9587
60	cohere	0.9686	0.8264
60	cohere-chat	0.9917	0.8678
60	gpt2	0.9782	0.8182
