step	attack	AUROC
1	no_attack	0.1989
1	t5_paraphrase	0.0000
1	synonym_replacement	0.0772
1	homoglyphs	0.0789
1	article_deletion	0.3587
1	misspelling	0.3342
5	no_attack	0.5436
5	t5_paraphrase	0.9600
5	synonym_replacement	0.9510
5	homoglyphs	0.8149
5	article_deletion	0.5142
5	misspelling	0.6716
10	no_attack	0.9234
10	t5_paraphrase	0.9800
10	synonym_replacement	0.9923
10	homoglyphs	1.0000
10	article_deletion	0.6857
10	misspelling	0.8322
15	no_attack	0.9908
15	t5_paraphrase	1.0000
15	synonym_replacement	0.9952
15	homoglyphs	1.0000
15	article_deletion	0.9262
15	misspelling	0.9806
20	no_attack	0.9948
20	t5_paraphrase	1.0000
20	synonym_replacement	0.9904
20	homoglyphs	0.9999
20	article_deletion	0.9822
20	misspelling	0.9939
25	no_attack	0.9973
25	t5_paraphrase	0.9800
25	synonym_replacement	0.9920
25	homoglyphs	0.9989
25	article_deletion	0.9943
25	misspelling	0.9972
30	no_attack	0.9936
30	t5_paraphrase	0.9400
30	synonym_replacement	0.9846
30	homoglyphs	0.9990
30	article_deletion	0.9852
30	misspelling	0.9953
35	no_attack	0.9960
35	t5_paraphrase	1.0000
35	synonym_replacement	0.9977
35	homoglyphs	0.9996
35	article_deletion	0.9957
35	misspelling	0.9993
40	no_attack	0.9969
40	t5_paraphrase	1.0000
40	synonym_replacement	0.9955
40	homoglyphs	0.9995
40	article_deletion	0.9943
40	misspelling	0.9962
45	no_attack	0.9988
45	t5_paraphrase	1.0000
45	synonym_replacement	0.9982
45	homoglyphs	0.9991
45	article_deletion	0.9981
45	misspelling	0.9990
50	no_attack	0.9989
50	t5_paraphrase	1.0000
50	synonym_replacement	0.9995
50	homoglyphs	1.0000
50	article_deletion	0.9995
50	misspelling	0.9997
55	no_attack	0.9955
55	t5_paraphrase	1.0000
55	synonym_replacement	0.9964
55	homoglyphs	0.9991
55	article_deletion	0.9980
55	misspelling	0.9972
60	no_attack	0.9891
60	t5_paraphrase	1.0000
60	synonym_replacement	0.9886
60	homoglyphs	0.9937
60	article_deletion	0.9935
60	misspelling	0.9916
65	no_attack	0.9981
65	t5_paraphrase	1.0000
65	synonym_replacement	0.9984
65	homoglyphs	0.9998
65	article_deletion	0.9988
65	misspelling	0.9993
70	no_attack	0.9995
70	t5_paraphrase	1.0000
70	synonym_replacement	0.9999
70	homoglyphs	1.0000
70	article_deletion	0.9997
70	misspelling	0.9999
