step	generator	AUROC
1	chatgpt	0.2695
1	cohere	0.3561
1	cohere-chat	0.2933
1	gpt2	0.3574
1	gpt3	0.2848
1	gpt4	0.2651
1	llama-chat	0.2051
1	mistral	0.3686
1	mistral-chat	0.2606
1	mpt	0.2072
1	mpt-chat	0.2854
1	MACRO_AVG	0.2866
5	chatgpt	0.4777
5	cohere	0.5307
5	cohere-chat	0.5269
5	gpt2	0.6132
5	gpt3	0.5833
5	gpt4	0.5286
5	llama-chat	0.5449
5	mistral	0.5958
5	mistral-chat	0.5120
5	mpt	0.7819
5	mpt-chat	0.5782
5	MACRO_AVG	0.5703
10	chatgpt	0.8618
10	cohere	0.8252
10	cohere-chat	0.8443
10	gpt2	0.8311
10	gpt3	0.8869
10	gpt4	0.9244
10	llama-chat	0.9238
10	mistral	0.8508
10	mistral-chat	0.8945
10	mpt	0.8848
10	mpt-chat	0.8804
10	MACRO_AVG	0.8735
15	chatgpt	0.9678
15	cohere	0.9244
15	cohere-chat	0.9381
15	gpt2	0.9250
15	gpt3	0.9661
15	gpt4	0.9896
15	llama-chat	0.9907
15	mistral	0.9131
15	mistral-chat	0.9724
15	mpt	0.9364
15	mpt-chat	0.9687
15	MACRO_AVG	0.9539
20	chatgpt	0.9915
20	cohere	0.9533
20	cohere-chat	0.9699
20	gpt2	0.9384
20	gpt3	0.9864
20	gpt4	0.9966
20	llama-chat	0.9948
20	mistral	0.9438
20	mistral-chat	0.9920
20	mpt	0.9220
20	mpt-chat	0.9893
20	MACRO_AVG	0.9707
25	chatgpt	0.9954
25	cohere	0.9510
25	cohere-chat	0.9708
25	gpt2	0.9413
25	gpt3	0.9885
25	gpt4	0.9984
25	llama-chat	0.9972
25	mistral	0.9423
25	mistral-chat	0.9947
25	mpt	0.9240
25	mpt-chat	0.9905
25	MACRO_AVG	0.9722
30	chatgpt	0.9915
30	cohere	0.9732
30	cohere-chat	0.9798
30	gpt2	0.9684
30	gpt3	0.9826
30	gpt4	0.9971
30	llama-chat	0.9938
30	mistral	0.9553
30	mistral-chat	0.9914
30	mpt	0.9240
30	mpt-chat	0.9796
30	MACRO_AVG	0.9760
35	chatgpt	0.9962
35	cohere	0.9622
35	cohere-chat	0.9776
35	gpt2	0.9832
35	gpt3	0.9907
35	gpt4	0.9990
35	llama-chat	0.9958
35	mistral	0.9693
35	mistral-chat	0.9960
35	mpt	0.9614
35	mpt-chat	0.9925
35	MACRO_AVG	0.9840
40	chatgpt	0.9956
40	cohere	0.9684
40	cohere-chat	0.9809
40	gpt2	0.9827
40	gpt3	0.9914
40	gpt4	0.9986
40	llama-chat	0.9969
40	mistral	0.9772
40	mistral-chat	0.9960
40	mpt	0.9598
40	mpt-chat	0.9927
40	MACRO_AVG	0.9855
45	chatgpt	0.9985
45	cohere	0.9797
45	cohere-chat	0.9884
45	gpt2	0.9836
45	gpt3	0.9955
45	gpt4	0.9995
45	llama-chat	0.9989
45	mistral	0.9784
45	mistral-chat	0.9984
45	mpt	0.9607
45	mpt-chat	0.9972
45	MACRO_AVG	0.9890
50	chatgpt	0.9992
50	cohere	0.9791
50	cohere-chat	0.9879
50	gpt2	0.9856
50	gpt3	0.9962
50	gpt4	0.9997
50	llama-chat	0.9990
50	mistral	0.9814
50	mistral-chat	0.9989
50	mpt	0.9643
50	mpt-chat	0.9983
50	MACRO_AVG	0.9899
55	chatgpt	0.9978
55	cohere	0.9762
55	cohere-chat	0.9859
55	gpt2	0.9862
55	gpt3	0.9932
55	gpt4	0.9993
55	llama-chat	0.9957
55	mistral	0.9815
55	mistral-chat	0.9973
55	mpt	0.9602
55	mpt-chat	0.9955
55	MACRO_AVG	0.9881
60	chatgpt	0.9921
60	cohere	0.9721
60	cohere-chat	0.9811
60	gpt2	0.9861
60	gpt3	0.9857
60	gpt4	0.9949
60	llama-chat	0.9893
60	mistral	0.9782
60	mistral-chat	0.9913
60	mpt	0.9673
60	mpt-chat	0.9900
60	MACRO_AVG	0.9844
65	chatgpt	0.9984
65	cohere	0.9802
65	cohere-chat	0.9877
65	gpt2	0.9910
65	gpt3	0.9947
65	gpt4	0.9989
65	llama-chat	0.9982
65	mistral	0.9814
65	mistral-chat	0.9981
65	mpt	0.9791
65	mpt-chat	0.9973
65	MACRO_AVG	0.9914
70	chatgpt	0.9991
70	cohere	0.9789
70	cohere-chat	0.9877
70	gpt2	0.9935
70	gpt3	0.9957
70	gpt4	0.9995
70	llama-chat	0.9995
70	mistral	0.9870
70	mistral-chat	0.9990
70	mpt	0.9823
70	mpt-chat	0.9983
70	MACRO_AVG	0.9928
75	chatgpt	0.9986
75	cohere	0.9792
75	cohere-chat	0.9893
75	gpt2	0.9944
75	gpt3	0.9956
75	gpt4	0.9988
75	llama-chat	0.9986
75	mistral	0.9869
75	mistral-chat	0.9986
75	mpt	0.9829
75	mpt-chat	0.9980
75	MACRO_AVG	0.9928
80	chatgpt	0.9901
80	cohere	0.9750
80	cohere-chat	0.9832
80	gpt2	0.9866
80	gpt3	0.9867
80	gpt4	0.9907
80	llama-chat	0.9884
80	mistral	0.9812
80	mistral-chat	0.9898
80	mpt	0.9641
80	mpt-chat	0.9905
80	MACRO_AVG	0.9842
85	chatgpt	0.9970
85	cohere	0.9816
85	cohere-chat	0.9902
85	gpt2	0.9924
85	gpt3	0.9952
85	gpt4	0.9980
85	llama-chat	0.9975
85	mistral	0.9892
85	mistral-chat	0.9974
85	mpt	0.9756
85	mpt-chat	0.9969
85	MACRO_AVG	0.9919
90	chatgpt	0.9973
90	cohere	0.9833
90	cohere-chat	0.9905
90	gpt2	0.9936
90	gpt3	0.9938
90	gpt4	0.9989
90	llama-chat	0.9981
90	mistral	0.9906
90	mistral-chat	0.9977
90	mpt	0.9789
90	mpt-chat	0.9960
90	MACRO_AVG	0.9926
95	chatgpt	0.9990
95	cohere	0.9837
95	cohere-chat	0.9913
95	gpt2	0.9945
95	gpt3	0.9968
95	gpt4	0.9997
95	llama-chat	0.9994
95	mistral	0.9900
95	mistral-chat	0.9993
95	mpt	0.9811
95	mpt-chat	0.9988
95	MACRO_AVG	0.9940
100	chatgpt	0.9974
100	cohere	0.9831
100	cohere-chat	0.9909
100	gpt2	0.9933
100	gpt3	0.9947
100	gpt4	0.9984
100	llama-chat	0.9974
100	mistral	0.9884
100	mistral-chat	0.9977
100	mpt	0.9819
100	mpt-chat	0.9967
100	MACRO_AVG	0.9927
105	chatgpt	0.9955
105	cohere	0.9823
105	cohere-chat	0.9905
105	gpt2	0.9912
105	gpt3	0.9937
105	gpt4	0.9966
105	llama-chat	0.9949
105	mistral	0.9851
105	mistral-chat	0.9964
